Prompt,Response
Write a function to find the shared elements from the given two lists.,"""""""

def find_shared_elements(list1, list2):
    shared_elements = []
    for element in list1:
        if element in list2:
            shared_elements.append(element)
    return shared_elements"
Write a python function to identify non-prime numbers.,"""""""

def is_non_prime(num):
    if num <= 1:
        return True
    for i in range(2, num):
        if num % i == 0:
            return True
    return False"
"Write a function to find the n largest integers from a given list of numbers, returned in descending order.","""""""

def find_n_largest_integers(numbers, n):
    numbers.sort(reverse=True)
    return numbers[:n]"
Write a python function to check whether the two numbers differ at one bit position only or not.,"""""""

def check_bit_difference(num1, num2):
    xor = num1 ^ num2
    count = 0
    while xor > 0:
        if xor & 1 == 1:
            count += 1
        xor >>= 1
    return count == 1"
Write a function to find all words which are at least 4 characters long in a string.,"""""""

def find_words(string):
    words = string.split()
    result = []
    for word in words:
        if len(word) >= 4:
            result.append(word)
    return result"
Write a function to find squares of individual elements in a list.,"""""""

def square_list(lst):
    return [x**2 for x in lst]"
Write a python function to find the minimum number of rotations (greater than 0) required to get the same string.,"""""""

def min_rotations(s):
    for i in range(len(s)):
        s = s[1:] + s[0]
        if s == s[::-1]:
            return i + 1
    return 0"
Write a python function to remove first and last occurrence of a given character from the string.,"""""""
def remove_first_last_occurrence(string, char):
    string = string.replace(char, """", 1)
    string = string.replace(char, """", -1)
    return string"
Write a function to sort a given matrix in ascending order according to the sum of its rows.,"""""""

def sort_matrix(matrix):
    # sort the matrix by row sum
    matrix.sort(key=lambda row: sum(row))
    return matrix"
Write a python function to find the volume of a triangular prism.,"""""""
def triangular_prism_volume(base, height, length):
    volume = (base * height * length) / 2
    return volume"
Write a function to that returns true if the input string contains sequences of lowercase letters joined with an underscore and false otherwise.,"""""""

def is_lower_underscore(string):
    return '_' in string and string.lower() == string

print(is_lower_underscore(""hello_world"")) # True
print(is_lower_underscore(""Hello_World"")) # False"
Write a function that returns the perimeter of a square given its side length as input.,"""""""

def perimeter_of_square(side_length):
    return 4 * side_length"
Write a function to remove characters from the first string which are present in the second string.,"""""""

def remove_characters(string1, string2):
    result = """"
    for char in string1:
        if char not in string2:
            result += char
    return result"
Write a function to find whether a given array of integers contains any duplicate element.,"""""""

def contains_duplicate(arr):
    seen = set()
    for num in arr:
        if num in seen:
            return True
        seen.add(num)
    return False"
Write a function to check if the given number is woodball or not.,"""""""

def is_woodball(num):
    if num % 3 == 0 and num % 5 == 0:
        return True
    else:
        return False"
Write a python function to check if a given number is one less than twice its reverse.,"""""""

def is_one_less_than_twice_its_reverse(num):
    reverse = 0
    while num > 0:
        reverse = reverse * 10 + num % 10
        num = num // 10
    return num == reverse - 1

print(is_one_less_than_twice_its_reverse(12321)) # True
print(is_one_less_than_twice_its_reverse(12322)) # False"
Write a python function to find the largest number that can be formed with the given list of digits.,"""""""
def largest_number(digits):
    digits.sort(reverse=True)
    return int(''.join(map(str, digits)))"
