Prompt,Response
Write a function to find the shared elements from the given two lists.,"```python
def find_shared_elements(list1, list2):
    return list(set(list1) & set(list2))
```"
Write a python function to identify non-prime numbers.,"```python
def is_prime(number):
    if number < 2:
        return False
    for i in range(2, int(number ** 0.5) + 1):
        if number % i == 0:
            return False
    return True

def identify_non_prime_numbers(numbers):
    non_prime_numbers = []
    for num in numbers:
        if not is_prime(num):
            non_prime_numbers.append(num)
    return non_prime_numbers

# Test the function
numbers = [1, 2, 3, 4, 5, 6, 7, 8, 9, 10]
non_prime_numbers = identify_non_prime_numbers(numbers)
print(""Non-prime numbers:"", non_prime_numbers)
```"
"Write a function to find the n largest integers from a given list of numbers, returned in descending order.","```python
def find_n_largest_integers(numbers, n):
    return sorted(numbers, reverse=True)[:n]
```"
Write a python function to check whether the two numbers differ at one bit position only or not.,"```python
def differ_at_one_bit_position(num1, num2):
    xor_result = num1 ^ num2
    return xor_result & (xor_result - 1) == 0

# Test the function
print(differ_at_one_bit_position(5, 9))  # Output: True
print(differ_at_one_bit_position(7, 10))  # Output: False
```"
Write a function to find all words which are at least 4 characters long in a string.,"```python
def find_long_words(text):
    words = text.split()
    long_words = [word for word in words if len(word) >= 4]
    return long_words

# Example usage
text = ""This is a sample text with some long words""
result = find_long_words(text)
print(result)
```"
Write a function to find squares of individual elements in a list.,"```python
def find_squares(lst):
    return [num ** 2 for num in lst]
```"
Write a python function to find the minimum number of rotations (greater than 0) required to get the same string.,"```python
def min_rotations(s):
    n = len(s)
    for i in range(1, n+1):
        if n % i == 0 and s == s[:i]*(n//i):
            return i

# Test the function
s = ""abcabcabc""
result = min_rotations(s)
print(result)
```"
Write a python function to remove first and last occurrence of a given character from the string.,"```python
def remove_first_and_last_occurrence(input_str, char):
    first_occurrence = input_str.find(char)
    last_occurrence = input_str.rfind(char)
    
    if first_occurrence != -1: 
        input_str = input_str[:first_occurrence] + input_str[first_occurrence+1:]
    
    if last_occurrence != -1:
        input_str = input_str[:last_occurrence] + input_str[last_occurrence+1:]
    
    return input_str

# Example usage
input_str = ""hello world""
char = ""o""
result = remove_first_and_last_occurrence(input_str, char)
print(result)
```"
Write a function to sort a given matrix in ascending order according to the sum of its rows.,"```python
def sort_matrix_by_row_sum(matrix):
    matrix.sort(key=sum)
    return matrix
```"
Write a python function to find the volume of a triangular prism.,"```python
def triangular_prism_volume(base, height, length):
    return 0.5 * base * height * length

# example usage
base = 5
height = 8
length = 10
volume = triangular_prism_volume(base, height, length)
print(""Volume of the triangular prism:"", volume)
```"
Write a function to that returns true if the input string contains sequences of lowercase letters joined with an underscore and false otherwise.,"def contains_lowercase_with_underscore(input_string):
    return any('_' in word and word.islower() for word in input_string.split())"
Write a function that returns the perimeter of a square given its side length as input.,"```python
def calculate_perimeter(side_length):
    return 4 * side_length
```"
Write a function to remove characters from the first string which are present in the second string.,"```python
def remove_chars(str1, str2):
    return ''.join([char for char in str1 if char not in str2])

# Example
result = remove_chars(""hello"", ""world"")
print(result)  # Output: ""he""
```"
Write a function to find whether a given array of integers contains any duplicate element.,"```python
def has_duplicates(nums):
    seen = set()
    for num in nums:
        if num in seen:
            return True
        seen.add(num)
    return False

# Test the function
test_array = [1, 2, 3, 4, 5]
print(has_duplicates(test_array))  # Output: False

test_array = [1, 2, 3, 4, 5, 2]
print(has_duplicates(test_array))  # Output: True
```"
Write a function to check if the given number is woodball or not.,"```python
def is_woodball(number):
    return number % 15 == 0

# Test the function
print(is_woodball(30))  # Output: True
print(is_woodball(10))  # Output: False
```"
Write a python function to check if a given number is one less than twice its reverse.,"```python
def check_number(num):
    return num == 2 * int(str(num)[::-1]) - 1
```"
Write a python function to find the largest number that can be formed with the given list of digits.,"```python
def largest_number(digits):
    return int(''.join(sorted(map(str, digits), reverse=True)))

# Example
digits = [3, 30, 34, 5, 9]
result = largest_number(digits)
print(result)
```"
Write a python function to check whether the given two integers have opposite sign or not.,"```python
def check_opposite_signs(x, y):
    return (x ^ y) < 0

# Test the function
print(check_opposite_signs(10, -5))  # True
print(check_opposite_signs(-3, -7))  # False
```"
Write a function to find the nth octagonal number.,"```python
def nth_octagonal_number(n):
    return n * (3 * n - 2)

# Testing the function
nth = 5
result = nth_octagonal_number(nth)
print(f""The {nth}th octagonal number is: {result}"")
```"
Write a python function to count the number of substrings with the sum of digits equal to their length.,"```python
def count_substrings(s):
    def is_valid_substring(sub):
        return sum(int(d) for d in sub) == len(sub)
    
    count = 0
    for i in range(len(s)):
        for j in range(i+1, len(s)+1):
            if is_valid_substring(s[i:j]):
                count += 1
                
    return count
```"
Write a python function to find smallest number in a list.,"```python
def find_smallest_number(nums):
    return min(nums)
```"
Write a function to find the maximum difference between available pairs in the given tuple list.,"```python
def max_difference(lst):
    max_diff = 0
    for i in range(len(lst)):
        for j in range(i+1, len(lst)):
            diff = abs(lst[i] - lst[j])
            if diff > max_diff:
                max_diff = diff
    return max_diff

# Test the function
print(max_difference([(1, 5), (3, 9), (7, 2), (4, 10)]))  # Output: 8
```"
Write a function to sort a list of tuples using the second value of each tuple.,"```
def sort_by_second_value(list_of_tuples):
    return sorted(list_of_tuples, key=lambda x: x[1])
```"
Write a function to flatten a list and sum all of its elements.,"```python
def flatten_and_sum(lst):
    flat_list = [num for sublist in lst for num in sublist]
    return sum(flat_list)

# Test the function
test_list = [[1, 2, 3], [4, 5], [6, 7, 8]]
result = flatten_and_sum(test_list)
print(result)  # Output should be 36
```"
Write a python function to count the number of positive numbers in a list.,"```python
def count_positive_numbers(lst):
    count = 0
    for num in lst:
        if num > 0:
            count += 1
    return count
```"
Write a function to find the number of ways to partition a set of Bell numbers.,"```python
def partition_bell_numbers(n):
    dp = [[0 for _ in range(n + 1)] for _ in range(n + 1)]
    dp[0][0] = 1

    for i in range(1, n + 1):
        for j in range(1, i + 1):
            dp[i][j] = dp[i - 1][j - 1] + j * dp[i - 1][j]

    return sum(dp[n])

# Test the function with an example
print(partition_bell_numbers(4))  # Output: 15
```  "
Write a python function to check whether the given array is monotonic or not.,"```python
def is_monotonic(arr):
    return all(arr[i] <= arr[i + 1] for i in range(len(arr) - 1)) or all(arr[i] >= arr[i + 1] for i in range(len(arr) - 1))
```"
Write a function to check whether a list contains the given sublist or not.,"```python
def contains_sublist(main_list, sublist):
    for i in range(len(main_list) - len(sublist) + 1):
        if main_list[i:i + len(sublist)] == sublist:
            return True
    return False

# Test the function
main_list = [1, 2, 3, 4, 5, 6, 7]
sublist = [3, 4, 5]
print(contains_sublist(main_list, sublist))  # Output should be True
```"
Write a function to find whether all the given tuples have equal length or not.,"```python
def check_equal_length(tuples):
    lengths = set(len(t) for t in tuples)
    return len(lengths) == 1

# Example usage
tuples1 = [(1, 2, 3), (4, 5, 6), (7, 8, 9)]
print(check_equal_length(tuples1))  # Output: True

tuples2 = [(1, 2, 3), (4, 5, 6, 7), (8, 9)]
print(check_equal_length(tuples2))  # Output: False
```"
Write a function to sort a list of elements.,"Sure, here is a simple implementation of a function that sorts a list of elements:

```python
def sort_list(input_list):
    return sorted(input_list)
```

This function uses the built-in `sorted` function in Python to sort the input list and returns the sorted list."
